common_name,scientific_name,common_scientific,itis_tsn,calcofi_species_code,n,paths
NA,Trachipterus,NA (_Trachipterus_),166340,381,76143,erdCalCOFIlrvcntTFtoU.csv
King-of-the-salmon,Trachipterus altivelis,King-of-the-salmon (_Trachipterus altivelis_),166341,382,76143,erdCalCOFIlrvcntTFtoU.csv
Tapertail ribbonfish,Trachipterus fukuzakii,Tapertail ribbonfish (_Trachipterus fukuzakii_),166343,383,76143,erdCalCOFIlrvcntTFtoU.csv
Jack mackerel,Trachurus symmetricus,Jack mackerel (_Trachurus symmetricus_),168586,514,76143,erdCalCOFIlrvcntTFtoU.csv
Cutlassfishes,Trichiuridae,Cutlassfishes (_Trichiuridae_),172378,595,76143,erdCalCOFIlrvcntTFtoU.csv
Pacific cutlassfish,Trichiurus lepturus,Pacific cutlassfish (_Trichiurus lepturus_),172385,598,76143,erdCalCOFIlrvcntTFtoU.csv
Searobins,Triglidae,Searobins (_Triglidae_),166972,755,76143,erdCalCOFIlrvcntTFtoU.csv
NA,Triphoturus,NA (_Triphoturus_),162765,303,76143,erdCalCOFIlrvcntTFtoU.csv
Mexican lampfish,Triphoturus mexicanus,Mexican lampfish (_Triphoturus mexicanus_),162766,301,76143,erdCalCOFIlrvcntTFtoU.csv
Highseas lampfish,Triphoturus nigrescens,Highseas lampfish (_Triphoturus nigrescens_),623873,302,76143,erdCalCOFIlrvcntTFtoU.csv
NA,Triphoturus oculeum,NA (_Triphoturus oculeum_),649728,304,76143,erdCalCOFIlrvcntTFtoU.csv
Agujon needlefish,Tylosurus pacificus,Agujon needlefish (_Tylosurus pacificus_),645131,1370,76143,erdCalCOFIlrvcntTFtoU.csv
Blind goby,Typhlogobius californiensis,Blind goby (_Typhlogobius californiensis_),171914,801,76143,erdCalCOFIlrvcntTFtoU.csv
Constellationfish,Valenciennellus tripunctulatus,Constellationfish (_Valenciennellus tripunctulatus_),162203,91,76143,erdCalCOFIlrvcntVtoZ.csv
